cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
31,127.53,20,39.1147,30.1147,58.0618,54.0618,0,"CORRECTING",17.1147,5.11469,4,2,1,6,4,5,"IDLE","none",3.62265,3.00255,0.879987,1,22,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.04,"IDLE",0,0
32,126.729,20,36.1702,27.1702,59.6689,55.6689,0,"TRACKER_DEGRADED",14.1702,5.17017,4,2,1,6,4,5,"IDLE","none",3.69948,3.08127,0.171679,0,6,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,17.01,"IDLE",0,0
33,125.957,20,39.2278,30.2278,56.7968,52.7968,0,"CORRECTING",17.2278,5.2278,4,2,1,6,4,5,"IDLE","none",3.76929,3.18145,0.581505,1,15,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.98,"IDLE",0,0
34,125.244,20,36.2833,27.2833,58.4705,54.4705,0,"TRACKER_DEGRADED",14.2833,5.28326,4,2,1,6,4,5,"IDLE","none",3.83156,3.24498,0.265204,0,8,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.95,"IDLE",0,0
35,124.616,20,39.3412,30.3412,55.7062,51.7062,0,"CORRECTING",17.3412,5.3412,4,2,1,6,4,5,"IDLE","none",3.88656,3.33139,0.628472,1,17,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.92,"IDLE",0,0
36,124.095,20,39.3986,30.3986,55.2726,51.2726,0,"CORRECTING",17.3986,5.39863,4,2,1,6,4,5,"IDLE","none",3.93396,3.40495,0.55492,1,14,"READY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.89,"IDLE",0,0
37,123.699,20,39.4562,30.4562,54.9319,50.9319,0,"CORRECTING",17.4562,5.45621,4,2,1,6,4,5,"IDLE","none",3.97384,3.47735,0.747892,1,25,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.86,"IDLE",0,0
38,123.438,20,39.5147,30.5147,54.6921,50.6921,0,"CORRECTING",17.5147,5.51471,4,2,1,6,4,5,"IDLE","none",4.00633,3.54636,0.877394,1,22,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.83,"IDLE",0,0
39,123.317,20,39.5709,30.5709,54.5595,50.5595,0,"CORRECTING",17.5709,5.57091,4,2,1,6,4,5,"IDLE","none",4.03141,3.58987,0.478588,1,12,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.8,"IDLE",0,0
40,123.336,20,36.6262,27.6262,56.7823,52.7823,0,"TRACKER_DEGRADED",14.6262,5.62625,4,2,1,6,4,5,"IDLE","none",4.04974,3.60964,0.199985,0,5,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.77,"IDLE",0,0
41,123.487,20,39.6829,30.6829,54.6033,50.6033,0,"CORRECTING",17.6829,5.68287,4,2,1,6,4,5,"IDLE","none",4.06211,3.65125,0.823252,1,22,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.74,"IDLE",0,0
42,123.758,20,36.7378,27.7378,57.0149,53.0149,0,"TRACKER_DEGRADED",14.7378,5.7378,4,2,1,6,4,5,"IDLE","none",4.06896,3.65873,0.204721,0,7,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.71,"IDLE",0,0
43,124.128,20,36.7921,27.7921,57.2522,53.2522,0,"TRACKER_DEGRADED",14.7921,5.79209,4,2,1,6,4,5,"IDLE","none",4.07109,3.66182,0.444778,0,15,"STANDBY",0,"IDLE",0,0,"dataset_1",2,0,0,-1,0,0,"PASSIVE",0,16.68,"IDLE",0,0
44,124.576,20,40.8292,31.8292,54.5602,50.5602,0,"TRACKER_DEGRADED",14.8292,5.82923,4,2,1,10,4,5,"IDLE","none",4.03036,3.62096,0.333277,0,15,"STANDBY",0,"ACQUIRE",1,0,"dataset_1",2,1,0,-1,0,0,"PASSIVE",0,16.65,"IDLE",0,0
45,125.074,20,43.8648,34.8648,52.657,48.657,0,"CORRECTING",17.8648,5.86479,4,2,1,10,4,5,"IDLE","none",3.95518,3.56207,0.498797,1,14,"STANDBY",0,"ACQUIRE",1,0,"dataset_1",2,2,0,-1,0,0,"PASSIVE",0,16.62,"IDLE",0,0
46,125.593,20,39.8974,30.8974,56.0214,52.0214,0,"CORRECTING",17.8974,5.89743,4,2,1,6,4,5,"IDLE","none",3.85275,3.47662,0.55174,1,16,"STANDBY",0,"READY",0,1,"dataset_2",3,3,0,-1,0,0,"PASSIVE",0,16.59,"IDLE",0,0
47,126.101,20,36.9264,27.9264,58.631,54.631,0,"TRACKER_DEGRADED",14.9264,5.92639,4,2,1,6,4,5,"IDLE","none",3.72952,3.35261,0.272155,0,7,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.56,"IDLE",0,0
48,126.568,20,36.9529,27.9529,58.9613,54.9613,0,"TRACKER_DEGRADED",14.9529,5.9529,4,2,1,6,4,5,"IDLE","none",3.59153,3.2134,0.236199,0,11,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.53,"IDLE",0,0
49,126.964,20,46.9777,37.9777,51.7396,47.7396,0,"TRACKER_DEGRADED",14.9777,5.97773,4,12,1,6,4,5,"IDLE","none",3.444,3.0649,0.255212,0,9,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"HEATING",1,16.68,"IDLE",0,0
50,127.261,20,37.0008,28.0008,59.4451,55.4451,0,"TRACKER_DEGRADED",15.0008,6.00084,4,2,1,6,4,5,"IDLE","none",3.29134,2.91095,0.362055,0,20,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.65,"IDLE",0,0
51,127.435,20,37.0223,28.0223,59.5597,55.5597,0,"TRACKER_DEGRADED",15.0223,6.02234,4,2,1,6,4,5,"IDLE","none",3.13733,2.75532,0.225232,0,19,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.62,"IDLE",0,0
52,127.467,20,37.043,28.043,59.5683,55.5683,0,"TRACKER_DEGRADED",15.043,6.04296,4,2,1,6,4,5,"IDLE","none",2.98512,2.60166,0.0572618,0,20,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.59,"IDLE",0,0
53,127.343,20,37.0627,28.0627,59.4601,55.4601,0,"TRACKER_DEGRADED",15.0627,6.06268,4,2,1,6,4,5,"IDLE","none",2.8372,2.45281,0.358883,0,20,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.56,"IDLE",0,0
54,127.053,20,40.0826,31.0826,56.978,52.978,0,"CORRECTING",18.0826,6.08255,4,2,1,6,4,5,"IDLE","none",2.69551,2.3277,0.59653,1,21,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.53,"IDLE",0,0
55,126.597,20,50.1022,41.1022,49.1208,45.1208,0,"CORRECTING",18.1022,6.10224,4,12,1,6,4,5,"IDLE","none",2.56132,2.2129,0.737488,1,25,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"HEATING",1,16.68,"IDLE",0,0
