cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,active_stage,active_stage_n,roi_count,processing_queue
56,125.977,20,41.1545,28.1545,58.367,50.367,1,"TRACKER_DEGRADED",15.1545,4,2,1,6,8,5,"IDLE","none",3.88206,3.52919,0.319125,0,8,"STANDBY",41569752,"READY",3,1024,14,1
57,125.205,20,41.2145,28.2145,57.7431,49.7431,1,"TRACKER_DEGRADED",15.2145,4,2,1,6,8,5,"IDLE","none",3.90479,3.55159,0.148945,0,5,"STANDBY",41569752,"READY",3,1024,14,1
58,124.297,20,41.2751,28.2751,57.0168,49.0168,1,"TRACKER_DEGRADED",15.2751,4,2,1,6,8,5,"IDLE","none",3.92753,3.57432,0.176837,0,6,"STANDBY",41569752,"READY",3,1024,14,1
59,123.275,20,55.3372,42.3372,45.7035,37.7035,1,"CORRECTING",18.3372,15,2,1,6,8,5,"THROTTLED","none",3.95026,3.61982,0.828652,1,22,"DOWNLINK",41561752,"READY",3,1024,14,1
60,122.165,20,55.4004,42.4004,44.8232,36.8232,1,"CORRECTING",18.4004,15,2,1,6,8,5,"THROTTLED","none",3.973,3.65964,0.635891,1,20,"DOWNLINK",41553752,"READY",3,1024,14,1
61,120.995,20,62.4628,49.4628,38.6492,30.6492,1,"TRACKER_DEGRADED",15.4628,15,12,1,6,8,5,"THROTTLED","none",3.99574,3.68307,0.397602,0,10,"DOWNLINK",41545752,"READY",3,1024,14,1
62,119.798,20,55.5262,42.5262,42.954,34.954,1,"CORRECTING",18.5262,15,2,1,6,8,5,"THROTTLED","none",4.01848,3.71949,0.550202,1,14,"DOWNLINK",41537752,"READY",3,1024,14,1
63,118.607,20,55.5905,42.5905,42.0123,34.0123,1,"CORRECTING",18.5905,15,2,1,6,8,5,"THROTTLED","none",4.04123,3.76229,0.86478,1,23,"DOWNLINK",41529752,"READY",3,1024,14,1
64,117.454,20,55.6561,42.6561,41.0982,33.0982,1,"CORRECTING",18.6561,15,2,1,6,8,5,"THROTTLED","none",4.06397,3.80465,0.872242,1,22,"DOWNLINK",41521752,"READY",3,1024,14,1
65,116.37,20,55.7179,42.7179,40.2389,32.2389,1,"CORRECTING",18.7179,15,2,1,6,8,5,"THROTTLED","none",4.07421,3.83147,0.793895,1,21,"DOWNLINK",41513752,"READY",3,1024,14,1
